filename,validity,upper_bound,solution_length,solution,iterations,elapsed,max_size
./test/fixtures/kun10.txt,valid,16,15,(6:6);(5:4);(3:5);(1:6);(3:5);(2:3);(1:5);(2:3);(1:1);(3:2);(5:3);(6:5);(4:4);(5:2);(6:0);,11333529,3.85084,2
./test/fixtures/kun10.txt,valid,16,15,(6:6);(5:4);(3:5);(1:6);(3:5);(2:3);(1:5);(2:3);(1:1);(3:2);(5:3);(6:5);(4:4);(5:2);(6:0);,13333593,3.68154,3
./test/fixtures/kun10.txt,valid,16,15,(6:6);(4:5);(2:4);(1:6);(2:4);(3:6);(1:5);(2:3);(1:1);(3:2);(5:3);(6:5);(4:4);(5:2);(6:0);,6386451,2.06274,4
./test/fixtures/kun10.txt,valid,16,15,(6:6);(5:4);(3:5);(1:6);(2:4);(0:3);(1:5);(2:3);(1:1);(3:2);(5:3);(6:5);(4:4);(5:2);(6:0);,9373459,2.59981,5
./test/fixtures/kun10.txt,valid,16,15,(6:6);(5:4);(3:5);(1:6);(2:4);(3:6);(1:5);(2:3);(1:1);(3:2);(5:3);(6:5);(4:4);(5:2);(6:0);,2760197,1.10867,6
./test/fixtures/kun10.txt,valid,16,15,(6:6);(4:5);(2:4);(1:6);(3:5);(2:3);(1:5);(2:3);(1:1);(3:2);(5:3);(6:5);(4:4);(5:2);(6:0);,13361284,4.01406,7
./test/fixtures/kun10.txt,valid,16,15,(6:6);(4:5);(2:4);(1:6);(3:5);(2:3);(1:5);(2:3);(1:1);(3:2);(5:3);(6:5);(4:4);(5:2);(6:0);,12503714,3.50664,8
./test/fixtures/kun10.txt,valid,16,15,(6:6);(4:5);(2:4);(1:6);(2:4);(3:6);(1:5);(2:3);(1:1);(3:2);(5:3);(6:5);(4:4);(5:2);(6:0);,23652194,6.80894,12
