filename,validity,upper_bound,solution_length,solution,iterations,elapsed
./test/fixtures/kun01.txt,valid,15,11,(2:2);(1:4);(0:2);(2:3);(4:4);(2:3);(0:4);(1:2);(0:0);(2:1);(4:0);,15765,0.00827643
./test/fixtures/kun02.txt,valid,12,12,(4:4);(2:3);(3:1);(2:3);(1:1);(3:2);(4:0);(2:1);(3:3);(4:1);(2:2);(0:1);,19948,0.00796071
./test/fixtures/kun03.txt,valid,13,11,(3:3);(2:5);(0:6);(2:5);(4:4);(5:2);(6:0);(4:1);(3:3);(1:2);(0:0);,1663425,0.560032
./test/fixtures/kun04.txt,valid,14,11,(3:3);(4:5);(6:6);(5:4);(3:5);(1:4);(0:6);(2:5);(3:3);(4:1);(6:0);,62895,0.0214401
./test/fixtures/kun05.txt,valid,14,11,(3:3);(1:4);(0:6);(2:5);(4:6);(5:4);(6:6);(4:5);(5:3);(4:1);(6:0);,28901,0.00917084
./test/fixtures/kun06.txt,valid,14,13,(4:4);(2:3);(3:1);(1:2);(3:3);(4:1);(2:2);(0:3);(1:1);(3:2);(1:3);(2:1);(4:0);,24818,0.00799666
./test/fixtures/kun07.txt,valid,12,12,(4:4);(2:3);(3:1);(2:3);(1:1);(3:2);(4:0);(2:1);(3:3);(4:1);(2:2);(0:1);,28886,0.0090435
./test/fixtures/kun08.txt,valid,16,11,(3:3);(1:4);(0:6);(2:5);(4:4);(5:2);(6:0);(4:1);(3:3);(2:1);(0:0);,943932,0.238276
./test/fixtures/kun09.txt,valid,13,13,(6:6);(5:4);(4:2);(6:1);(4:2);(6:3);(4:4);(2:3);(1:1);(0:3);(2:2);(4:1);(6:0);,458397,0.105193
./test/fixtures/kun10.txt,valid,16,15,(6:6);(5:4);(3:5);(1:6);(3:5);(2:3);(1:5);(2:3);(1:1);(3:2);(5:3);(6:5);(4:4);(5:2);(6:0);,11131561,3.12794
./test/fixtures/kun11.txt,valid,18,18,(6:6);(5:4);(6:2);(5:0);(3:1);(4:3);(5:5);(3:6);(1:5);(3:4);(1:3);(3:2);(5:1);(3:2);(1:1);(2:3);(3:5);(1:4);,129533969,33.4582
./test/fixtures/kun12.txt,valid,18,16,(6:6);(5:4);(3:5);(1:4);(3:5);(4:3);(5:5);(3:6);(1:5);(2:3);(1:1);(3:2);(5:1);(6:3);(4:2);(5:0);,11922202,3.04362
